DateTime,Positive_reviews,Negative_reviews,Source
2023-09-27,42,12,FC
2023-09-28,21,8,FC
2023-09-29,15,6,FC
2023-09-30,0,0,FC
2023-10-01,0,0,FC
2023-10-02,65,21,FC
2023-10-03,22,17,FC
2023-10-04,0,0,FC
2023-10-05,0,0,FC
2023-10-06,49,14,FC
2023-10-07,30,11,FC
2023-10-08,0,0,FC
2023-10-09,16,6,FC
2023-10-10,15,5,FC
2023-10-11,20,6,FC
2023-10-12,0,0,FC
2023-10-13,10,7,FC
2023-10-14,20,6,FC
2023-10-15,22,7,FC
2023-10-16,0,0,FC
2023-10-17,18,3,FC
2023-10-18,11,7,FC
2023-10-19,0,0,FC
2023-10-20,12,3,FC
2023-10-21,17,1,FC
2023-10-22,0,0,FC
2023-10-23,0,0,FC
2023-10-24,0,0,FC
2023-10-25,51,13,FC
2023-10-26,10,6,FC
2023-10-27,12,3,FC
2023-10-28,0,0,FC
2023-10-29,16,8,FC
2023-10-30,12,8,FC
2023-10-31,12,6,FC
2023-11-01,0,0,FC
2023-11-02,0,0,FC
2023-11-03,27,4,FC
2023-11-04,21,10,FC
2023-11-05,0,0,FC
2023-11-06,43,15,FC
2023-11-07,44,13,FC
2023-11-08,0,0,FC
2023-11-09,39,11,FC
2023-11-10,41,15,FC
2023-11-11,50,27,FC
2023-11-12,0,0,FC
2023-11-13,42,15,FC
2023-11-14,28,26,FC
2023-11-15,0,0,FC
2023-11-16,41,7,FC
2023-11-17,29,14,FC
2023-11-18,0,0,FC
2023-11-19,47,12,FC
2023-11-20,43,6,FC
2023-11-21,0,0,FC
2023-11-22,657,48,FC
2023-11-23,735,43,FC
2023-11-24,0,0,FC
2023-11-25,335,23,FC
2023-11-26,0,0,FC
2023-11-27,323,36,FC
2023-11-28,189,21,FC
2023-11-29,0,0,FC
2023-11-30,84,18,FC
2023-12-01,29,16,FC
2023-12-02,46,15,FC
2023-12-03,0,0,FC
2023-12-04,38,16,FC
2023-12-05,25,6,FC
2023-12-06,0,0,FC
2023-12-07,19,7,FC
2023-12-08,30,15,FC
2023-12-09,0,0,FC
2023-12-10,33,21,FC
2023-12-11,38,11,FC
2023-12-12,0,0,FC
2023-12-13,9,3,FC
2023-12-14,15,9,FC
2023-12-15,0,0,FC
2023-12-16,23,6,FC
2023-12-17,43,11,FC
2023-12-18,0,0,FC
2023-12-19,31,14,FC
2023-12-20,32,17,FC
2023-12-21,0,0,FC
2023-12-22,37,15,FC
2023-12-23,64,19,FC
2023-12-24,0,0,FC
2023-12-25,49,9,FC
2023-12-26,0,0,FC
2023-12-27,54,26,FC
2023-12-28,61,17,FC
2023-12-29,0,0,FC
2023-12-30,49,27,FC
2023-12-31,56,29,FC
2024-01-01,0,0,FC
2024-01-02,50,11,FC
2024-01-03,0,0,FC
2024-01-04,60,20,FC
2024-01-05,51,16,FC
2024-01-06,52,22,FC
2024-01-07,0,0,FC
